<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MSFT,60,20150102,170000,46.6700000,47.4200000,46.6400000,47.2800000,497501
US1.MSFT,60,20150102,180000,47.2800000,47.3000000,46.9300000,46.9550000,520308
US1.MSFT,60,20150102,190000,46.9600000,46.9600000,46.5850000,46.7150000,293159
US1.MSFT,60,20150102,200000,46.7200000,46.8300000,46.6300000,46.6300000,186964
US1.MSFT,60,20150102,210000,46.6300000,46.7100000,46.5450000,46.6500000,273827
US1.MSFT,60,20150102,220000,46.6500000,46.8000000,46.5500000,46.7100000,263432
US1.MSFT,60,20150102,230000,46.7150000,46.8900000,46.5900000,46.7400000,670536
US1.MSFT,60,20150105,170000,46.4000000,46.7200000,46.3000000,46.4450000,461324
US1.MSFT,60,20150105,180000,46.4450000,46.5700000,46.3500000,46.4800000,554649
US1.MSFT,60,20150105,190000,46.4700000,46.4950000,46.2600000,46.3900000,336538
US1.MSFT,60,20150105,200000,46.3850000,46.4900000,46.3000000,46.3600000,326283
US1.MSFT,60,20150105,210000,46.3600000,46.4300000,46.2550000,46.4000000,266091
US1.MSFT,60,20150105,220000,46.4000000,46.4700000,46.2500000,46.3850000,367034
US1.MSFT,60,20150105,230000,46.3850000,46.6200000,46.3000000,46.3400000,736756
US1.MSFT,60,20150106,170000,46.3650000,46.7400000,46.2900000,46.5400000,343508
US1.MSFT,60,20150106,180000,46.5450000,46.6750000,46.3700000,46.3800000,501365
US1.MSFT,60,20150106,190000,46.3800000,46.3950000,46.1800000,46.1900000,429152
US1.MSFT,60,20150106,200000,46.1800000,46.2100000,45.8400000,46.1650000,622909
US1.MSFT,60,20150106,210000,46.1600000,46.1600000,45.6500000,45.8100000,446391
US1.MSFT,60,20150106,220000,45.8100000,45.9800000,45.5400000,45.8500000,486993
US1.MSFT,60,20150106,230000,45.8500000,46.0600000,45.5600000,45.6000000,753329
US1.MSFT,60,20150107,170000,45.9800000,45.9900000,45.5000000,45.7300000,547757
US1.MSFT,60,20150107,180000,45.7400000,45.9200000,45.6400000,45.8500000,486843
US1.MSFT,60,20150107,190000,45.8500000,46.3100000,45.6900000,46.2900000,506033
US1.MSFT,60,20150107,200000,46.2800000,46.4550000,46.2100000,46.4000000,385530
US1.MSFT,60,20150107,210000,46.4000000,46.4300000,46.2500000,46.3300000,325228
US1.MSFT,60,20150107,220000,46.3300000,46.3900000,46.1100000,46.1200000,343608
US1.MSFT,60,20150107,230000,46.1200000,46.2700000,46.0900000,46.2200000,498131
US1.MSFT,60,20150108,170000,46.8000000,47.4200000,46.7700000,47.3700000,426204
US1.MSFT,60,20150108,180000,47.3700000,47.6300000,47.3300000,47.6300000,483979
US1.MSFT,60,20150108,190000,47.6400000,47.7400000,47.4300000,47.4750000,371957
US1.MSFT,60,20150108,200000,47.4750000,47.5750000,47.3800000,47.5300000,189538
US1.MSFT,60,20150108,210000,47.5200000,47.6600000,47.4800000,47.5900000,243112
US1.MSFT,60,20150108,220000,47.5900000,47.6300000,47.4700000,47.4850000,424414
US1.MSFT,60,20150108,230000,47.4850000,47.6400000,47.4750000,47.5900000,689195
US1.MSFT,60,20150109,170000,47.6100000,47.8100000,47.5200000,47.6600000,231527
US1.MSFT,60,20150109,180000,47.6400000,47.6500000,47.1900000,47.3550000,399927
US1.MSFT,60,20150109,190000,47.3500000,47.3500000,46.9000000,47.1300000,392840
US1.MSFT,60,20150109,200000,47.1300000,47.4200000,47.1250000,47.2100000,372743
US1.MSFT,60,20150109,210000,47.2000000,47.4100000,47.1800000,47.2650000,259347
US1.MSFT,60,20150109,220000,47.2650000,47.3850000,47.1500000,47.3700000,351930
